"id","url_id","hotel_id","language","event_type","status","error_message","duration_ms","worker_id","extra_data","scraped_at"
"cdaa1a52-d859-4913-acd7-a8b942d44b24","bb05d4ca-16b0-44d3-9cee-29cb902c0be8",NULL,"pt","scrape_success","done",NULL,177965,NULL,"{}","2026-03-11 00:04:29.510619+00"
"9f95d01b-12f8-42c0-a092-164df1a1def1","606f1010-9b71-48e6-96c3-427cb177bc22",NULL,"es","scrape_success","done",NULL,178861,NULL,"{}","2026-03-11 00:05:59.098435+00"
"be0439f1-fbf8-43f7-82bd-066c72807861","5360bc77-7f32-43c0-90b9-2e5e0b202b25",NULL,"es","scrape_success","done",NULL,177866,NULL,"{}","2026-03-11 00:07:27.916179+00"
"aa257dc3-0778-4045-b448-cfbd30a6ee0f","606f1010-9b71-48e6-96c3-427cb177bc22",NULL,"en","scrape_success","done",NULL,281661,NULL,"{}","2026-03-11 00:10:41.117402+00"
"e63174c8-6802-403e-8820-00925079e95e","5360bc77-7f32-43c0-90b9-2e5e0b202b25",NULL,"en","scrape_success","done",NULL,388307,NULL,"{}","2026-03-11 00:13:56.702495+00"
"5715eb20-f0eb-437c-84ab-5b50c645e81b","606f1010-9b71-48e6-96c3-427cb177bc22",NULL,"de","scrape_success","done",NULL,272679,NULL,"{}","2026-03-11 00:15:26.634343+00"
"db41c4da-5794-4563-8a78-6cba8c98da00","5360bc77-7f32-43c0-90b9-2e5e0b202b25",NULL,"de","scrape_success","done",NULL,166853,NULL,"{}","2026-03-11 00:16:55.636477+00"
"5c6d6bd6-0fc7-4571-b254-02af6b19d1a3","606f1010-9b71-48e6-96c3-427cb177bc22",NULL,"fr","scrape_success","done",NULL,178199,NULL,"{}","2026-03-11 00:18:25.230371+00"
"cb2cbc77-04b2-4547-9f66-a8b59e8b5ded","5360bc77-7f32-43c0-90b9-2e5e0b202b25",NULL,"fr","scrape_success","done",NULL,179360,NULL,"{}","2026-03-11 00:19:55.227201+00"
"7e15d9b5-9952-4a39-89eb-d9fd519afcf0","606f1010-9b71-48e6-96c3-427cb177bc22",NULL,"it","scrape_success","done",NULL,180829,NULL,"{}","2026-03-11 00:21:26.552421+00"
"a390f10a-341f-4d10-bff2-4856df892e6a","5360bc77-7f32-43c0-90b9-2e5e0b202b25",NULL,"it","scrape_success","done",NULL,180463,NULL,"{}","2026-03-11 00:22:56.032824+00"
"795a7b4a-a133-4e0a-b02f-18d08963e9e8","606f1010-9b71-48e6-96c3-427cb177bc22",NULL,"nl","scrape_success","done",NULL,177904,NULL,"{}","2026-03-11 00:24:24.821734+00"
"6741fdc7-8601-4b80-8ae1-7e6febfcdff0","5360bc77-7f32-43c0-90b9-2e5e0b202b25",NULL,"nl","scrape_success","done",NULL,177057,NULL,"{}","2026-03-11 00:25:53.522845+00"
"afb8e1dc-720f-494c-ac20-97d78e6c495e","606f1010-9b71-48e6-96c3-427cb177bc22",NULL,"pt","scrape_success","done",NULL,178533,NULL,"{}","2026-03-11 00:27:23.662154+00"
"1b63c3d5-21aa-4104-82fe-bfff70af8c6d","5360bc77-7f32-43c0-90b9-2e5e0b202b25",NULL,"pt","scrape_success","done",NULL,179106,NULL,"{}","2026-03-11 00:28:52.967723+00"
"d779b9c6-d2ac-4c77-90e6-af4427b1123a","fc565cd4-acab-4a3b-951a-3d7fea99c63f",NULL,"es","scrape_success","done",NULL,177794,NULL,"{}","2026-03-11 00:30:21.7747+00"
"a71d4035-f262-4545-a11d-8a6bab964bdd","a705f459-b925-4a5b-9b16-0519ffa7bc33",NULL,"es","scrape_success","done",NULL,177787,NULL,"{}","2026-03-11 00:31:51.232753+00"
"933bfd35-66d5-4efd-9087-ca5fad3fa803","fc565cd4-acab-4a3b-951a-3d7fea99c63f",NULL,"en","scrape_success","done",NULL,283111,NULL,"{}","2026-03-11 00:35:05.339005+00"
"31c0a85b-9ab6-4822-a942-66f0dc6f3413","a705f459-b925-4a5b-9b16-0519ffa7bc33",NULL,"en","scrape_success","done",NULL,389858,NULL,"{}","2026-03-11 00:38:21.327681+00"
"ed82c990-6b30-4d4a-b6ab-df9840612002","fc565cd4-acab-4a3b-951a-3d7fea99c63f",NULL,"de","scrape_success","done",NULL,276949,NULL,"{}","2026-03-11 00:39:49.917039+00"
"819c68b9-0c5b-48fb-b19f-7a2a8dddcf47","a705f459-b925-4a5b-9b16-0519ffa7bc33",NULL,"de","scrape_success","done",NULL,167648,NULL,"{}","2026-03-11 00:41:18.180254+00"
"2b9aeb5a-12bf-43ae-8c85-a8055875b334","fc565cd4-acab-4a3b-951a-3d7fea99c63f",NULL,"fr","scrape_success","done",NULL,177443,NULL,"{}","2026-03-11 00:42:47.737376+00"
"8aedc7cc-b8dc-4d2d-8d20-10aac12ed5b5","a705f459-b925-4a5b-9b16-0519ffa7bc33",NULL,"fr","scrape_success","done",NULL,179975,NULL,"{}","2026-03-11 00:44:18.609709+00"
"89c8f23f-d1cc-4e61-afc7-6eb88478b166","fc565cd4-acab-4a3b-951a-3d7fea99c63f",NULL,"it","scrape_success","done",NULL,178981,NULL,"{}","2026-03-11 00:45:47.093784+00"
"a223fb62-d3e9-4cb0-831a-af5c71d9d7e3","a705f459-b925-4a5b-9b16-0519ffa7bc33",NULL,"it","scrape_success","done",NULL,178576,NULL,"{}","2026-03-11 00:47:17.614867+00"
"197cbd72-6dec-4cdf-ba90-f0d03812bf57","fc565cd4-acab-4a3b-951a-3d7fea99c63f",NULL,"nl","scrape_success","done",NULL,179976,NULL,"{}","2026-03-11 00:48:47.299443+00"
